company_name,street,city,state,zip_code
California Pizza Kitchen,1001 Broxton Ave, Los Angeles,CA,90024
California Pizza Kitchen,6801 Hollywood Blvd, Hollywood,CA,90028
California Pizza Kitchen, 53 3rd St, San Francisco,CA,94103
California Pizza Kitchen, 7th St Space 305, Los Angeles,CA,90017
California Pizza Kitchen,1 Garden State Plaza Blvd, Paramus,NJ,07652
California Pizza Kitchen,800 Boylston St, Boston,MA,02199
California Pizza Kitchen,73080 El Paseo, Palm Desert,CA,92260
